soil,min_temp,max_temp,min_moisture,max_moisture,crop
Black,10,20,1,26,chilly
Black,10,20,26,51,tobacco
Black,10,20,51,75,ragi
Black,10,20,75,100,tomato
Black,20,30,1,40,cotton
Black,20,30,40,80,oil-seed
Black,30,40,1,50,maize
Loamy,10,20,1,30,peas
Loamy,10,20,30,60,brinjal
Loamy,10,20,60,90,tomato
Loamy,20,30,1,52,green beans
Loamy,20,30,52,90,cucumber
Loamy,30,40,2,53,pumpkin
Loamy,30,40,53,90,cantaloupe
Clayey,10,20,4,50,chard
Clayey,10,20,50,100,lettuce
Clayey,20,30,5,55,bean
Clayey,20,30,55,85,bean
Clayey,30,50,10,60,lettuce
Clayey,30,50,60,90,lettuce
Sandy,10,20,3,42,strawberry
Sandy,10,20,42,68,beet
Sandy,10,20,68,98,"potatoes,carrot"
Sandy,20,30,-3,45,garlic
Sandy,20,30,45,80,potatoes
Sandy,30,40,9,97,raddish
Aluvial,10,20,-22,54,carrot
Aluvial,10,20,54,101,bajra
Aluvial,20,30,-1,17,barley
Aluvial,20,30,17,40,groundnuts
Aluvial,20,32,40,89,seasame
Aluvial,32,50,3,46,rice
Aluvial,32,50,46,99,"sugarcane, rice"
